Comment,Specialist,Subclass,Severity
I've been involved in a severe car accident and have multiple injuries. I've been experiencing this for a month. The condition is weak and seems to worsen after prolonged water exposure.,Emergency Medicine Specialist,Allergic Reactions (Anaphylaxis),7
I've noticed blood in my urine over the past few days. I've been experiencing this for two weeks. The pain is dull and seems to worsen when I'm stressed.,Nephrologist,Hematuria,1
Pyloric stenosis surgery required. for several months. Intensity: extreme. It causes discomfort.. Better with specific treatments.. Worsens after physical activity..,Pediatric Surgery,Pediatric Trauma,10
I'm having difficulty managing my blood sugar levels. I've been experiencing this for a few days. The condition is fatigued and seems to worsen when I skip meals.,Diabetologist,Type 2 Diabetes Mellitus,4
"My bowel movements have changed, and I often have diarrhea. I've been experiencing this for a few days. The pain is throbbing and seems to worsen when exposed to sunlight.",Oncologist,Lymphoma,9
I have severe pain in my stomach. The pain is located in the around the belly button. It comes and goes in waves. The intensity is mild but annoying. I have difficulty performing daily activities. Improves slightly with over-the-counter medication.,Surgical Gastroenterology,Liver Cirrhosis,8
I suddenly lost vision and have severe headache and weakness. I've been experiencing this for a few hours. The condition is weak and seems to worsen following drug use.,Emergency Medicine Specialist,Fractures and Dislocations,4
"My skin is dry and brittle, and I'm losing hair. I've been experiencing this for a week. The condition is unpredictable and seems to worsen following a sedentary lifestyle.",Endocrinologist,Diabetes Mellitus (Type 1 & Type 2),6
I'm frequently feeling fatigued due to breathing problems. I've been experiencing this since last winter. The intensity is extreme and unbearable. It affects my ability to perform daily tasks. Using a nebulizer provides temporary relief. It tends to get worse when I come into contact with allergens..,Pulmonology,Interstitial Lung Disease,3
I'm experiencing pain in my testicles. I've been experiencing this for a week. The condition is dry and seems to worsen in cold weather.,Vascular Surgery,Peyronie's Disease,10
I need reconstruction of my breast following mastectomy. I've been dealing with this for a few days. The intensity is severe and debilitating. I have difficulty performing routine tasks. Pain is slightly eased with medication. It tends to get worse after trauma or accidents..,Plastic Surgery,Cancer Reconstruction,1
My skin and eyes have turned yellow. I've been experiencing this for a year. The pain is stabbing and seems to worsen after consuming dairy products.,Gastroenterologist,Gastric Cancer,9
My hand has congenital differences that need surgical intervention. I've been dealing with this for a month. The intensity is severe and debilitating. It affects my daily activities significantly. Specialized wound care provides some relief. It tends to get worse following a surgical procedure..,Plastic Surgery,Maxillofacial Surgery,10
My vision is blurry because of macular degeneration. I've been experiencing this for several months. The condition is blurry and seems to worsen after eye strain.,Ophthalmologist,Dry Eye Syndrome,9
The tracheal reconstruction has left me with a feeling of irritation and occasional pain. I've been experiencing this for a week. The condition is healing and seems to worsen in cold weather.,Cardiothoracic Surgeon,Thoracoscopic lung surgery,8
I've been involved in a severe car accident and have multiple injuries. I've been experiencing this for a week. The condition is confused and seems to worsen due to a sudden illness.,Emergency Medicine Specialist,Head Injuries,7
My dentures don't fit properly and cause pain. I've been experiencing this for a few days. The condition is dry and seems to worsen after eating certain foods.,Dental/OMFS,Oral cancer surgery,2
I've been told I have cervical dysplasia. I've been experiencing this for a month. The condition is painful and seems to worsen during my menstrual cycle.,Obstetrics & Gynecology,Polycystic Ovary Syndrome (PCOS),5
My skin reacts to any new skincare product. I've been experiencing this for a year. The condition is scaly and seems to worsen after using a new skincare product.,Dermatologist,Hair Loss,4
"I have noticed a chronic, productive cough. I've been experiencing this since childhood. The intensity is mild but persistent. I can't engage in physical activities I used to enjoy. Using a nebulizer provides temporary relief. It tends to get worse after physical exertion..",Pulmonology,Interstitial Lung Disease,5
My energy levels have significantly dropped recently. I've been experiencing this for a year. The pain is sharp and seems to worsen when exposed to sunlight.,Oncologist,Pancreatic Cancer,3
My thoracic aortic aneurysm repair has left me with ongoing soreness in my chest. I've been experiencing this for a year. The condition is post-surgical and seems to worsen in cold weather.,Cardiothoracic Surgeon,Diaphragmatic hernia repair,6
"I feel anxious and restless, even without any apparent reason. I've been experiencing this for a few days. The condition is uncomfortable and seems to worsen after eating certain foods.",General Medicine Specialist,Fibromyalgia,5
I've been involved in a severe car accident and have multiple injuries. I've been experiencing this for a few hours. The condition is critical and seems to worsen following exposure to chemicals.,Emergency Medicine Specialist,Near Drowning,10
Diagnosed with Hirschsprung's disease. for a month. Intensity: extreme. It causes discomfort.. No relief from treatments.. Worsens due to genetics..,Pediatric Surgery,Wilms Tumor,10
"My cholesterol levels are elevated, and I'm concerned about heart disease. I've been experiencing this for a few days. The condition is fatigued and seems to worsen after a lack of sleep.",Endocrinologist,Hypogonadism (low testosterone levels),1
I was underwater for too long and am struggling to breathe. I've been experiencing this for a month. The condition is critical and seems to worsen following a traumatic event.,Emergency Medicine Specialist,Burns,8
"I've noticed small, hard lumps in my stool. I've been experiencing this for a few days. The pain is throbbing and seems to worsen when I'm lying down.",Gastroenterologist,Gastrointestinal Bleeding,3
"Following my valve repair/replacement surgery, I have persistent discomfort in my chest. I've been experiencing this for a month. The condition is sore and seems to worsen due to physical activity.",Cardiothoracic Surgeon,Diaphragmatic hernia repair,8
There is a growth on my skin that has become increasingly painful. I've been experiencing this for a few days. The condition is debilitating and seems to worsen after engaging in physical activity.,General Surgeon,Fissures and Fistulas,4
I've been experiencing frequent colds and a persistent cough. I've been experiencing this for a month. The condition is debilitating and seems to worsen after eating certain foods.,General Medicine Specialist,Fibromyalgia,4
We are addressing pediatric diabetes. for a month. Intensity: extreme. It requires regular check-ups.. No significant relief found.. Worsens after physical exertion..,Pediatrics,Asthma,3
I have difficulty maintaining healthy weight and cholesterol levels. I've been experiencing this for a few days. The condition is fatigued and seems to worsen following a change in medication.,Endocrinologist,Hypercalcemia and hypocalcemia,2
I am unhappy with the appearance of my nose. I've been dealing with this for a couple of weeks. The intensity is severe and debilitating. It limits my ability to engage in social activities. Pain is slightly eased with medication. It tends to get worse due to complications from previous treatments..,Plastic Surgery,Cancer Reconstruction,9
I've developed a persistent cough and shortness of breath. I've been experiencing this for a month. The condition is frequent and seems to worsen when I forget to take my medication.,Diabetologist,Diabetic Neuropathy,7
I have a chronic cough and difficulty breathing. I've been experiencing this for a month. The condition is intense and seems to worsen during seasonal changes.,General Medicine Specialist,Hypertension,4
I experience regular bouts of shortness of breath. I've been experiencing this since last winter. The intensity is moderate and uncomfortable. I can't engage in physical activities I used to enjoy. Avoiding certain allergens helps manage the symptoms. It tends to get worse when exposed to cold air..,Pulmonology,Tuberculosis (TB),2
I'm dealing with a lump in my breast that has become increasingly painful. I've been experiencing this for a week. The condition is acute and seems to worsen following an abdominal injury.,General Surgeon,Lymph Node Biopsy,5
I've noticed my movements are slower and more rigid. I've been experiencing this for several months. The pain is sharp and seems to worsen after physical activity.,Neurologist,Amyotrophic Lateral Sclerosis (ALS),9
I have frequent flare-ups of pain. I've been experiencing this since last year. The intensity is mild but persistent. I have difficulty sleeping due to the pain. Hot or cold compresses provide temporary relief. It tends to get worse when I wake up in the morning.,Rheumatology,Ankylosing Spondylitis,7
"My diet is not balanced, and I feel weak and tired. I've been experiencing this for several months. The condition is disabling and seems to worsen following a recent illness.",Geriatrician,Falls and Fractures,7
I had an ectopic pregnancy recently. I've been experiencing this for a year. The condition is persistent and seems to worsen after physical activity.,Obstetrics & Gynecology,Preterm Labor,9
I have severe abdominal pain and cramping. I've been experiencing this for a week. The condition is dizzy and seems to worsen due to lack of sleep.,Diabetologist,Hypertension,3
I'm having difficulty starting and maintaining a steady stream of urine. I've been experiencing this for a week. The condition is dry and seems to worsen after physical activity.,Vascular Surgery,Cryptorchidism,5
I have abdominal pain and irregular bowel movements. I've been experiencing this for several months. The condition is distressing and seems to worsen in response to dietary changes.,General Medicine Specialist,Chronic Obstructive Pulmonary Disease (COPD),8
Pyloric stenosis surgery required. for a few days. Intensity: severe. Requires frequent visits.. Improves with rest.. Worsens following an injury..,Pediatric Surgery,Wilms Tumor,7
I have inflammation in my eye from uveitis. I've been experiencing this for a few days. The condition is blurry and seems to worsen after using digital screens.,Ophthalmologist,Cataracts,8
I have a broken leg and my joint is out of place. I've been experiencing this for a month. The condition is nauseating and seems to worsen after a fall.,Emergency Medicine Specialist,Stroke,7
I have severe abdominal pain and cramping. I've been experiencing this for several months. The condition is itchy and seems to worsen after physical exertion.,Diabetologist,Type 2 Diabetes Mellitus,1
There's a constant gnawing pain in my stomach. I've been experiencing this for a few days. The pain is cramping and seems to worsen after a heavy meal.,Gastroenterologist,Celiac Disease,7
I am unhappy with the appearance of my nose. I've been dealing with this since last winter. The intensity is moderate and uncomfortable. I struggle with physical limitations due to the condition. There is no significant relief despite treatments. It tends to get worse due to complications from previous treatments..,Plastic Surgery,Burns,6
I have frequent flare-ups of pain. I've been experiencing this for several months. The intensity is severe and debilitating. It affects my ability to perform daily tasks. Pain is slightly eased with rest. It tends to get worse when it's cold and damp outside.,Rheumatology,Ankylosing Spondylitis,10
"Since my esophageal cancer surgery, I feel discomfort and occasional pressure in my chest. I've been experiencing this for several months. The condition is discomforting and seems to worsen due to physical activity.",Cardiothoracic Surgeon,Ventricular septal defect closure,1
I am managing chronic pain with physical therapy. I've been dealing with this since childhood. The intensity is extreme and overwhelming. I have difficulty with basic movements. There is no significant relief despite treatments. It tends to get worse after engaging in strenuous activities..,Physical Medicine and Rehabilitation,Orthopedic Rehabilitation,7
I get frequent headaches and see flashes of light. I've been experiencing this for a few days. The pain is dull and seems to worsen after a long day.,Neurologist,Alzheimer's Disease,9
I need reconstruction of my breast following mastectomy. I've been dealing with this for a week. The intensity is severe and debilitating. It limits my ability to engage in social activities. Pain is slightly eased with medication. It tends to get worse following a surgical procedure..,Plastic Surgery,Cleft Lip and Palate,7
"I've noticed a lump on my head, and I'm having frequent headaches. I've been experiencing this for a week. The pain is aching and seems to worsen after physical activity.",Neurologist,Peripheral Neuropathy,6
My wisdom teeth are causing discomfort. I've been experiencing this for a few days. The condition is red and inflamed and seems to worsen after using a new dental product.,Dental/OMFS,Temporomandibular joint disorders,5
I am seeking cosmetic surgery to improve my appearance. I've been dealing with this for a month. The intensity is severe and debilitating. It limits my ability to engage in social activities. There is no significant relief despite treatments. It tends to get worse due to complications from previous treatments..,Plastic Surgery,Diabetic Foot & Chronic Wounds,8
There are pains in my chest that come and go. I've been experiencing this a few days. The condition is sharp and seems to worsen emotional stress.,Cardiology,Heart murmurs,1
I'm dealing with persistent wheezing. I've been experiencing this for the past few years. The intensity is severe and debilitating. I can't engage in physical activities I used to enjoy. The symptoms are slightly eased with medication. It tends to get worse during seasonal changes..,Pulmonology,Pulmonary Embolism,1
"My thyroid levels are irregular, affecting my energy and weight. I've been experiencing this for a week. The condition is irritating and seems to worsen in response to dietary changes.",General Medicine Specialist,Thyroid Disorders,5
I have a severe toothache. I've been experiencing this for a week. The condition is painful and seems to worsen when I get stressed.,Dental/OMFS,Dental implants,3
I have a burning sensation during urination. I've been experiencing this for a month. The condition is red and inflamed and seems to worsen after physical activity.,Vascular Surgery,Peyronie's Disease,4
My joints are inflamed and sore. I've been experiencing this for a week. The intensity is severe and debilitating. I have difficulty sleeping due to the pain. Hot or cold compresses provide temporary relief. It tends to get worse when it's cold and damp outside.,Rheumatology,Ankylosing Spondylitis,9
I have difficulty swallowing and often feel that food gets stuck. I've been experiencing this for a few days. The pain is dull and seems to worsen when I drink a lot of fluids.,Nephrologist,Hematuria,2
The imaging process was painless and fast. I have been experiencing symptoms for a week. I'm still worried despite the clear results. The outcome was that The scan showed minor abnormalities.. I was given a contrast injection.,Radiology,X-ray Diagnostics,10
I have osteoarthritis affecting my knees. I've been dealing with this for a couple of weeks. The intensity is mild but persistent. I struggle with basic movements. Eases with rest and proper care. It tends to get worse during weather changes..,Orthopedics,Fractures,4
"I've developed a rash that won't go away, and it itches badly. I've been experiencing this for a few days. The pain is burning and seems to worsen when I'm stressed.",Oncologist,Prostate Cancer,6
I've had consistent swelling in my abdomen and legs. I've been experiencing this for a few days. The condition is relapsing and seems to worsen after eating spicy foods.,Hepatologist,Liver Cancer,7
Hip dysplasia is causing mobility issues. I've been dealing with this for a few days. The intensity is moderate and uncomfortable. I have difficulty with physical activities. Eases with rest and proper care. It tends to get worse after physical exertion..,Orthopedics,Tendonitis,6
I experience frequent nausea and abdominal pain. I've been experiencing this for a year. The condition is imbalanced and seems to worsen after consuming high-fat foods.,Endocrinologist,Adrenal Disorders,1
I am experiencing frequent urination. I've been experiencing this for several months. The condition is red and inflamed and seems to worsen in cold weather.,Urology,Bladder Cancer,6
I've noticed unusual swelling in my lower abdomen. I've been experiencing this for a year. The condition is red and inflamed and seems to worsen in cold weather.,Urology,Urethral Stricture,3
I'm experiencing dizziness and a spinning sensation. I've been experiencing this for a month. The condition is intense and seems to worsen following a cold.,ENT Specialist,Chronic Cough,7
I'm having severe pain in my lower abdomen with occasional vomiting. I've been experiencing this for a few days. The condition is persistent and seems to worsen due to a recent infection.,General Surgeon,"Hernia (Inguinal, Umbilical, Incisional)",6
I experience regular bouts of shortness of breath. I've been experiencing this for several months. The intensity is mild but persistent. It makes it hard to work or concentrate. There is no significant relief despite treatments. It tends to get worse during seasonal changes..,Pulmonology,Interstitial Lung Disease,2
I have chest tightness and discomfort. I've been experiencing this for a year. The intensity is moderate and uncomfortable. I struggle with basic movements like walking or climbing stairs. Using a nebulizer provides temporary relief. It tends to get worse after a respiratory infection..,Pulmonology,Chronic Obstructive Pulmonary Disease (COPD),8
My cholesterol levels are very high. I've been experiencing this a few hours. The condition is dull and seems to worsen eating.,Cardiology,Congenital heart disease,8
I have severe pain in my stomach. The pain is located in the around the belly button. It comes and goes in waves. The intensity is moderate and uncomfortable. It makes it hard to concentrate at work. Improves slightly with over-the-counter medication.,Surgical Gastroenterology,"Inflammatory Bowel Disease (Crohn's Disease, Ulcerative Colitis)",5
I've developed an intolerance to fatty foods. I've been experiencing this for a few days. The pain is burning and seems to worsen after consuming dairy products.,Gastroenterologist,Irritable Bowel Syndrome (IBS),4
My gums bleed easily during brushing and flossing. I've been experiencing this for a month. The pain is dull and seems to worsen when I drink a lot of fluids.,Nephrologist,Kidney Stones,6
I have been experiencing sudden and severe drops in blood sugar. I've been experiencing this for a year. The condition is fatigued and seems to worsen when I forget to take my medication.,Diabetologist,Diabetic Gastroparesis,8
I feel full very quickly after starting to eat. I've been experiencing this for a year. The pain is gnawing and seems to worsen at night.,Gastroenterologist,Pancreatitis,3
I have a burning sensation in my chest. The pain is located in the around the belly button. It is constant and unrelenting. The intensity is extreme and unbearable. It interferes with my sleep. No relief with any treatment tried so far.,Surgical Gastroenterology,Gastroesophageal Reflux Disease (GERD),9
I've noticed some vision problems that are worsening. I've been experiencing this for several months. The condition is burning and seems to worsen during periods of stress.,Diabetologist,Diabetic Ketoacidosis (DKA),7
I've been having difficulty speaking and my vision is blurred. I've been experiencing this for a week. The pain is persistent and seems to worsen when I try to concentrate.,Neurologist,Traumatic Brain Injury (TBI),4
I am in need of neurological rehabilitation after a condition. I've been dealing with this for a few days. The intensity is extreme and overwhelming. I struggle with work-related tasks due to the condition. Pain is slightly eased with therapy. It tends to get worse following recent surgery..,Physical Medicine and Rehabilitation,Neurological Rehabilitation,3
There are concerns about developmental delays. for a week. Intensity: moderate. It limits physical activities.. Better with specific treatments.. Worsens during growth spurts..,Pediatrics,Childhood Obesity,7
I have a bumpy texture on my skin that doesn't go away. I've been experiencing this for a week. The condition is dry and seems to worsen after exposure to the sun.,Dermatologist,Dermatitis,4
I need help recovering from a recent stroke. I've been dealing with this for a year. The intensity is extreme and overwhelming. It limits my ability to engage in social activities. I feel better with specialized exercises. It tends to get worse following recent surgery..,Physical Medicine and Rehabilitation,Traumatic Brain Injury Rehabilitation,6
The doctor recommended a follow-up scan. I have been experiencing symptoms for a few days. The scan made me anxious. The outcome was that It ruled out any major concerns.. I needed to drink a special solution.,Radiology,Hysterosalpingography,6
I feel a constant burning sensation in my feet. I've been experiencing this for a year. The condition is painful and seems to worsen during periods of stress.,Diabetologist,Dyslipidemia,5
I've noticed unusual swelling in my lower abdomen. I've been experiencing this for several months. The condition is dry and seems to worsen after drinking alcohol.,Urology,Urinary Tract Infections (UTIs),8
I'm dealing with constant fatigue. I've been experiencing this for a week. The intensity is severe and debilitating. It affects my ability to perform daily tasks. I feel better with over-the-counter pain relief. It tends to get worse after a stressful day.,Rheumatology,Myositis,3
I feel a constant pressure in my ears and have difficulty hearing. I've been experiencing this for a month. The condition is debilitating and seems to worsen after a recent respiratory infection.,ENT Specialist,Swallowing Disorders,8
I often feel dizzy and lightheaded. I've been experiencing this a few weeks. The condition is stabbing and seems to worsen cold weather.,Cardiology,Peripheral artery disease,1
I have frequent muscle weakness that makes it hard to perform tasks. I've been experiencing this for a few days. The pain is dull and seems to worsen when I lie down.,Nephrologist,Kidney Stones,9
I am looking for replantation surgery for my severed finger. I've been dealing with this for several months. The intensity is moderate and uncomfortable. I struggle with physical limitations due to the condition. Pain is slightly eased with medication. It tends to get worse due to underlying health conditions..,Plastic Surgery,Cosmetic Surgery,8
I feel an overall sense of itching without any rash or skin changes. I've been experiencing this for a week. The pain is mild and seems to worsen when I'm stressed.,Nephrologist,Renal Failure,7
My dentures don't fit properly and cause pain. I've been experiencing this for several months. The condition is scaly and seems to worsen after exposure to the sun.,Dental/OMFS,Dental implants,2
I have scoliosis and need treatment. I've been dealing with this for a week. The intensity is extreme and overwhelming. It limits my social interactions. Eases with rest and proper care. It tends to get worse during weather changes..,Orthopedics,Tendonitis,7
"I have noticeable lumps and pain in my rectum area, especially during bowel movements. I've been experiencing this for a few days. The condition is debilitating and seems to worsen following a trauma.",General Surgeon,Appendicitis,8
I'm experiencing frequent nausea. The pain is located in the on the right side of the abdomen. The symptoms gradually worsened over time. The intensity is moderate and uncomfortable. It limits my physical activity. Eases when I avoid certain foods.,Surgical Gastroenterology,Bowel Obstruction,2
I'm facing pelvic pain from PID. I've been experiencing this for a month. The condition is painful and seems to worsen after physical activity.,Obstetrics & Gynecology,Ectopic Pregnancy,3
I'm struggling to breathe and feel lightheaded. I've been experiencing this for a day. The condition is painful and seems to worsen after prolonged water exposure.,Emergency Medicine Specialist,Drug Overdose,2
"There's a noticeable change in my mental state, and I'm feeling confused. I've been experiencing this for several months. The condition is intense and seems to worsen after eating large meals.",Hepatologist,Liver Failure,8
I have a broken leg and my joint is out of place. I've been experiencing this for several days. The condition is weak and seems to worsen due to a sudden illness.,Emergency Medicine Specialist,Trauma,6
"My bowel movements have changed, and I often have diarrhea. I've been experiencing this for a few days. The pain is stabbing and seems to worsen in the morning.",Oncologist,Colorectal Cancer,2
My eye is painful due to a corneal ulcer. I've been experiencing this for a year. The condition is dry and seems to worsen after using digital screens.,Ophthalmologist,Corneal Ulcers,5
My eyes are constantly dry and uncomfortable. I've been experiencing this for a few days. The condition is dry and seems to worsen after using digital screens.,Ophthalmologist,"Refractive Errors (Myopia, Hyperopia, Astigmatism)",3
I have severe pain in my lower abdomen. I've been experiencing this for a few days. The condition is painful and seems to worsen after drinking alcohol.,Vascular Surgery,Cryptorchidism,3
I have trouble maintaining an erection. I've been experiencing this for several months. The condition is red and inflamed and seems to worsen after eating certain foods.,Urology,Incontinence (Urinary and Fecal),10
I have persistent high blood pressure that doesn't seem to improve. I've been experiencing this for several weeks. The condition is severe and seems to worsen due to underlying health conditions.,General Medicine Specialist,Asthma,8
I'm being monitored for preeclampsia. I've been experiencing this for several months. The condition is irregular and seems to worsen after eating certain foods.,Obstetrics & Gynecology,Ectopic Pregnancy,5
I have severe pain in my lower abdomen. I've been experiencing this for a week. The condition is scaly and seems to worsen when I get stressed.,Urology,Urethral Stricture,1
I experience severe ear itching and discomfort. I've been experiencing this for a few days. The condition is painful and seems to worsen due to underlying health conditions.,ENT Specialist,Head and Neck Cancer,9
I experienced some discomfort during the scan. I have been experiencing symptoms for a week. I'm still worried despite the clear results. The outcome was that It ruled out any major concerns.. I was given a contrast injection.,Radiology,Magnetic Resonance Imaging (MRI),2
"I experience sharp, burning pain in my stomach that worsens after eating. I've been experiencing this for several weeks. The condition is painful and seems to worsen after eating fatty foods.",General Surgeon,Fissures and Fistulas,7
I'm experiencing pelvic organ prolapse. I've been experiencing this for a month. The condition is mild and seems to worsen when stressed.,Obstetrics & Gynecology,Fibroids,7
I've noticed unusual swelling in my lower abdomen. I've been experiencing this for a week. The condition is itchy and seems to worsen when I get stressed.,Urology,Hydrocele,1
I have frequent panic attacks and constant worry. I've been experiencing this since childhood. The intensity is extreme and overwhelming. I have difficulty maintaining relationships. Support from family and friends helps. It tends to get worse after major life changes..,Psychiatry,"Sleep Disorders (e.g., Insomnia, Narcolepsy)",6
I've been dealing with numbness in my hands and feet. I've been experiencing this for a month. The condition is dizzy and seems to worsen due to lack of sleep.,Diabetologist,Diabetic Retinopathy,6
I'm having trouble seeing clearly due to refractive errors. I've been experiencing this for several months. The condition is painful and seems to worsen after long hours of reading.,Ophthalmologist,Retinitis Pigmentosa,7
I noticed a persistent cough that won't go away. I've been experiencing this for a month. The pain is aching and seems to worsen when I'm lying down.,Oncologist,Thyroid Cancer,4
Concerns about intussusception. for a couple of weeks. Intensity: extreme. It limits mobility.. No relief from treatments.. Worsens following an injury..,Pediatric Surgery,Intussusception,9
I feel lightheaded and have muscle cramps due to calcium imbalances. I've been experiencing this for several months. The condition is fatigued and seems to worsen during periods of stress.,Endocrinologist,Hypercalcemia and hypocalcemia,1
I am recovering from a recent fracture. I've been dealing with this since last winter. The intensity is extreme and overwhelming. I struggle with basic movements. Gets better with physical therapy. It tends to get worse due to repetitive stress..,Orthopedics,Hip Dysplasia,5
I have recurring ovarian cysts. I've been experiencing this for several months. The condition is persistent and seems to worsen when stressed.,Obstetrics & Gynecology,Preeclampsia,10
My eyelids are swollen because of blepharitis. I've been experiencing this for a few days. The condition is blurry and seems to worsen during allergy season.,Ophthalmologist,Age-related Macular Degeneration (AMD),9
I've developed painful sores and swelling around my anal area. I've been experiencing this for a month. The condition is acute and seems to worsen after engaging in physical activity.,General Surgeon,Gallstones,6
I have a severe toothache. I've been experiencing this for a week. The condition is scaly and seems to worsen after using a new dental product.,Dental/OMFS,Tooth extraction,4
I'm experiencing pelvic organ prolapse. I've been experiencing this for a few days. The condition is irregular and seems to worsen after eating certain foods.,Obstetrics & Gynecology,Preeclampsia,5
I've been having trouble sleeping and often wake up restless. I've been experiencing this for about a year. The pain is mild and seems to worsen after taking certain medications.,Nephrologist,Chronic Kidney Disease (CKD),5
I've noticed a darkening of my urine and light-colored stool. I've been experiencing this for a week. The condition is progressive and seems to worsen after skipping meals.,Hepatologist,Alcoholic Liver Disease,5
I have irregular periods and high levels of androgen hormones. I've been experiencing this for a year. The condition is fatigued and seems to worsen during periods of stress.,Endocrinologist,Metabolic syndrome,3
I have recurring ovarian cysts. I've been experiencing this for a month. The condition is severe and seems to worsen after physical activity.,Obstetrics & Gynecology,Cervical Dysplasia,10
Pediatric hypertension is being monitored. for a few days. Intensity: severe. It requires regular check-ups.. Improves with rest and care.. Worsens during growth spurts..,Pediatrics,Growth and Development Monitoring,3
I've been experiencing confusion and memory issues. I've been experiencing this for several months. The condition is persistent and seems to worsen when exposed to strong odors.,Hepatologist,Liver Cancer,6
I'm having trouble digesting food properly. The pain is located in the lower abdomen. It is constant and unrelenting. The intensity is moderate and uncomfortable. It makes it hard to concentrate at work. Eases when I avoid certain foods.,Surgical Gastroenterology,Gastric Cancer,5
Concerns about intussusception. for several months. Intensity: extreme. It affects daily activities.. No relief from treatments.. Worsens after physical activity..,Pediatric Surgery,Hypospadias,6
My child has frequent allergic reactions. for a week. Intensity: extreme. It requires regular check-ups.. Improves with rest and care.. Worsens during growth spurts..,Pediatrics,Pediatric Hypertension,8
I'm anxious about the scan results. I have been experiencing symptoms for several months. I'm unsure about the next steps after the scan. The outcome was that It ruled out any major concerns.. I had to fast before the procedure.,Radiology,Magnetic Resonance Imaging (MRI),3
I experience frequent coughing fits. I've been experiencing this for several months. The intensity is moderate and uncomfortable. I struggle with basic movements like walking or climbing stairs. There is no significant relief despite treatments. It tends to get worse when exposed to cold air..,Pulmonology,Chronic Obstructive Pulmonary Disease (COPD),6
I have frequent flare-ups of pain. I've been experiencing this since last year. The intensity is moderate and uncomfortable. I have difficulty sleeping due to the pain. There is no significant relief despite treatments. It tends to get worse when I wake up in the morning.,Rheumatology,Juvenile Idiopathic Arthritis,2
The atrial septal defect closure left me feeling fatigued and with intermittent pain. I've been experiencing this for several months. The condition is painful and seems to worsen in cold weather.,Cardiothoracic Surgeon,Lung cancer surgery,5
I have occasional fever and chills with no apparent infection. I've been experiencing this for several weeks. The condition is severe and seems to worsen during periods of high stress.,General Medicine Specialist,Thyroid Disorders,4
I've been feeling nauseous and have vomited multiple times this week. I've been experiencing this for two weeks. The pain is constant and seems to worsen during cold weather.,Nephrologist,Diabetic Nephropathy,3
I have been diagnosed with hemochromatosis and it's affecting my joints. I've been experiencing this for a year. The condition is debilitating and seems to worsen when exposed to strong odors.,Hepatologist,Hemochromatosis,2
There is blood in my urine. I've been experiencing this for several months. The condition is scaly and seems to worsen when I get stressed.,Vascular Surgery,Kidney Stones,9
My child has a urinary tract infection. for a couple of weeks. Intensity: moderate. It affects daily activities.. Improves with rest and care.. Worsens after physical exertion..,Pediatrics,Attention Deficit Hyperactivity Disorder (ADHD),7
I have a diminished appetite and significant weight loss. I've been experiencing this for a few days. The condition is acute and seems to worsen during the night.,Geriatrician,Alzheimer's Disease,5
I am undergoing cardiac rehabilitation after heart surgery. I've been dealing with this for a week. The intensity is extreme and overwhelming. It limits my ability to engage in social activities. I feel better with specialized exercises. It tends to get worse due to underlying health conditions..,Physical Medicine and Rehabilitation,Pediatric Rehabilitation,1
"I feel anxious and restless, especially during the night. I've been experiencing this for several months. The condition is exhausting and seems to worsen after physical exertion.",Geriatrician,Hypertension,9
I've had trouble recognizing people and places I know well. I've been experiencing this for several months. The pain is aching and seems to worsen after physical activity.,Neurologist,Myasthenia Gravis,2
My night vision is worsening from retinitis pigmentosa. I've been experiencing this for a month. The condition is irritated and seems to worsen during allergy season.,Ophthalmologist,Cataracts,9
I have a chronic cough and frequent shortness of breath. I've been experiencing this for a few days. The condition is progressive and seems to worsen after eating fatty foods.,Hepatologist,Primary Biliary Cholangitis (PBC),5
I have a burning sensation in my chest. The pain is located in the on the right side of the abdomen. The symptoms gradually worsened over time. The intensity is mild but annoying. It limits my physical activity. Only relieved by lying down.,Surgical Gastroenterology,Gastrointestinal Bleeding,2
I've been experiencing confusion and memory issues. I've been experiencing this for a few days. The condition is unbearable and seems to worsen after taking medication.,Hepatologist,Hepatic Steatosis,6
I've been feeling unusually weak and tired. I've been experiencing this for several months. The pain is sharp and seems to worsen when I wake up.,Oncologist,Brain Tumors,7
"After the tracheal reconstruction, I occasionally feel a tightening sensation in my throat. I've been experiencing this for a few days. The condition is healing and seems to worsen after surgery.",Cardiothoracic Surgeon,Esophageal cancer surgery,7
There are concerns about developmental delays. for a couple of weeks. Intensity: mild. It impacts school performance.. Better with specific treatments.. Worsens after physical exertion..,Pediatrics,Childhood Obesity,9
Childhood obesity management is needed. since birth. Intensity: moderate. It requires regular check-ups.. Relief with prescribed medication.. Worsens following certain foods..,Pediatrics,Gastroenteritis,10
"After the mediastinal tumor resection, I notice a dull ache and occasional sharp pains in my chest. I've been experiencing this for several months. The condition is painful and seems to worsen after medication.",Cardiothoracic Surgeon,Pulmonary thromboendarterectomy,2
My gums are bleeding every time I brush. I've been experiencing this for a year. The condition is painful and seems to worsen after using a new dental product.,Dental/OMFS,Tooth extraction,9
I feel bloated and can't seem to get relief. The pain is located in the lower abdomen. It is constant and unrelenting. The intensity is moderate and uncomfortable. It interferes with my sleep. Improves slightly with over-the-counter medication.,Surgical Gastroenterology,Gallstones,4
I struggle to remember things and sometimes forget where I am. I've been experiencing this for several months. The pain is persistent and seems to worsen in the morning.,Neurologist,Spinal Cord Injury,6
